Symbol,Description,Sector,Industry,Sub-Industry,asset_type,exchange_code,data_source
AAA,INVESTMENT MANAGERS SER TR II AXS FIRST PRIORITY CLO BOND,,,,ETF,UNKNOWN,THINKORSWIM
AAAU,GOLDMAN SACHS PHYSICAL GOLD UNIT ETF,,,,ETF,UNKNOWN,THINKORSWIM
AADR,ADVISORSHARES TRUST DORSEY WRIGHT ADR ETF,,,,ETF,UNKNOWN,THINKORSWIM
AAXJ,ISHARES TRUST MSCI AC ASIA ETF,,,,ETF,UNKNOWN,THINKORSWIM
ABEQ,UNIFIED SERIES TRUST ABSOLUTE SELECT VALUE ETF,,,,ETF,UNKNOWN,THINKORSWIM
ACES,ALPS ETF TRUST CLEAN ENERGY ETF,,,,ETF,UNKNOWN,THINKORSWIM
ACIO,ETF SERIES SOLUTIONS APTUS COLLARED INVESTMENT O,,,,ETF,UNKNOWN,THINKORSWIM
ACSI,TIDAL ETF AMERN CUSTOMER SATISFACTION,,,,ETF,UNKNOWN,THINKORSWIM
ACTV,TWO RDS SHARED TRUST LEADERSHARES ACTIVIST LDRS,Communication Services,Entertainment,Movies & Entertainment,ETF,UNKNOWN,THINKORSWIM
ACVF,ETF OPPORTUNITIES TR AMERN CONSERVATIVE VALUES E,,,,ETF,UNKNOWN,THINKORSWIM
ACWI,ISHARES TRUST MSCI ACWI ETF,,,,ETF,UNKNOWN,THINKORSWIM
ACWV,ISHARES INC MSCI GBL MIN VOL ETF,,,,ETF,UNKNOWN,THINKORSWIM
ACWX,ISHARES TRUST MSCI ACWI EX US ETF,,,,ETF,UNKNOWN,THINKORSWIM
ADFI,TWO RDS SHARED TRUST ANFIELD TACTICAL FIXED INCO,,,,ETF,UNKNOWN,THINKORSWIM
ADME,ETF SERIES SOLUTIONS APTUS DRAWDOWN ETF,,,,ETF,UNKNOWN,THINKORSWIM
AESR,TWO RDS SHARED TRUST ANFIELD US EQU ETF,,,,ETF,UNKNOWN,THINKORSWIM
AFIF,TWO RDS SHARED TRUST ANFIELD UNVL ETF,,,,ETF,UNKNOWN,THINKORSWIM
